date,home,away,FTR,home_score,away_score,h_fouls,h_yellow_cards,h_red_cards,h_off_sides,h_corners,h_saves,a_fouls,a_yellow_cards,a_red_cards,a_off_sides,a_corners,a_saves
sbado 21 enero,Guadalajara,Tijuana,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
domingo 12 febrero,Toluca,Veracruz,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
domingo 12 febrero,Chiapas,Morelia,A,1,2,16,2,0,3,9,2,11,3,0,3,2,7
domingo 12 febrero,Santos,Cruz Azul,D,2,2,0,0,0,0,0,0,0,0,0,0,0,0
viernes 18 agosto,Morelia,Pachuca,A,1,2,6,1,0,1,7,4,16,3,0,2,4,1
viernes 18 agosto,Tijuana,Santos,H,2,0,15,5,0,3,3,5,17,0,0,1,4,2
viernes 17 marzo,Tijuana,Santos,D,1,1,17,2,1,1,6,3,18,3,0,2,3,4
domingo 15 enero,Pumas UNAM,Cruz Azul,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
domingo 15 enero,Toluca,Amrica,H,2,1,0,0,0,0,0,0,0,0,0,0,0,0
domingo 15 enero,Santos,Veracruz,H,2,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 18 febrero,Cruz Azul,Atlas,A,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sbado 18 febrero,Monterrey,Pachuca,H,1,0,17,4,0,3,11,1,14,3,0,3,2,4
sbado 18 febrero,Morelia,Toluca,A,1,2,0,0,0,0,0,0,0,0,0,0,0,0
sbado 18 febrero,Len,Santos,D,2,2,0,0,0,0,0,0,0,0,0,0,0,0
sbado 18 febrero,Necaxa,Quertaro,A,1,4,15,4,0,5,3,2,16,2,0,3,3,6
sbado 18 febrero,Guadalajara,Amrica,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
domingo 23 julio,Pumas UNAM,Pachuca,H,1,0,15,0,0,2,4,3,13,1,0,1,7,1
domingo 23 julio,Veracruz,Necaxa,A,0,2,0,0,0,0,0,0,0,0,0,0,0,0
viernes 27 enero,Tijuana,Cruz Azul,H,1,0,0,0,0,0,0,0,0,0,0,0,0,0
domingo 30 julio,Leon,Pachuca,H,3,2,14,4,0,1,6,2,13,1,0,0,6,7
domingo 30 julio,U.A.N.L,Quertaro,D,1,1,14,0,0,1,4,1,12,4,0,1,3,2
domingo 30 julio,Len,Cruz Azul,D,2,2,12,3,0,3,8,1,14,2,0,2,6,3
domingo 30 julio,Amrica,Pumas UNAM,H,2,1,0,0,0,0,0,0,0,0,0,0,0,0
domingo 30 julio,Guadalajara,Necaxa,D,2,2,13,3,0,2,4,5,14,5,0,0,2,6
viernes 28 abril,Veracruz,Monterrey,H,1,0,14,3,0,4,5,0,18,2,1,0,3,3
